EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
1,High,Very High,Good
2,High,Medium,Best
3,Medium,Medium,Bad
4,Very High,Very High,Better
5,Very High,Low,Better
6,High,Medium,Good
7,Low,High,Bad
8,Low,Medium,Better
9,Medium,Very High,Better
10,Medium,Low,Better
11,High,Very High,Better
12,NA,Very High,Better
13,Very High,Low,Better
14,Low,Medium,Good
15,Very High,Very High,Good
16,High,Very High,Best
17,Very High,High,Best
18,Low,Very High,Better
19,Medium,Medium,Good
20,Low,Low,Better
21,High,Medium,Bad
22,Low,Medium,Good
23,High,High,Good
24,Medium,High,Better
25,Medium,Very High,Good
26,Medium,Very High,Better
27,Low,Low,Better
28,Very High,Very High,Better
29,Very High,High,Bad
30,Very High,Very High,Better
31,Low,Medium,Better
32,Very High,Very High,Better
33,High,Low,Better
34,High,Medium,Better
35,Very High,Medium,Good
36,Very High,Very High,Better
37,Medium,Very High,Good
38,High,Medium,Best
39,High,High,Better
40,High,Medium,Good
41,High,NA,Better
42,Very High,Medium,Better
43,Very High,Medium,Better
44,Very High,High,Better
45,Medium,Low,Better
46,Medium,Very High,Good
47,High,Very High,Good
48,Medium,Medium,Better
49,Very High,High,Good
50,Low,Medium,Better
51,Very High,High,Better
52,High,Very High,Better
53,Low,Low,Better
54,Low,Low,Better
55,High,Very High,Bad
56,Very High,Medium,Better
57,High,Low,Better
58,High,Very High,Better
59,High,High,Better
60,High,Medium,Good
61,High,Medium,Good
62,High,Medium,Better
63,Very High,High,Better
64,Very High,Very High,Better
65,Low,Very High,Good
66,Low,Very High,Good
67,Very High,Very High,Better
68,High,High,Better
69,High,Very High,Better
70,Very High,High,Good
71,Medium,Very High,Good
72,Very High,High,Better
73,High,High,Best
74,High,Medium,Better
75,Very High,High,Good
76,High,Low,Good
77,Very High,Very High,Better
78,Medium,Very High,Good
79,Medium,Low,Good
80,Medium,Very High,Better
81,Very High,High,Better
82,Medium,Medium,Better
83,Very High,Very High,Good
84,High,Very High,Better
85,High,Very High,NA
86,Very High,Medium,Better
87,High,Medium,Better
88,High,Very High,Good
89,Very High,Medium,Better
90,Medium,High,Better
91,Low,Very High,Better
92,Very High,High,Good
93,High,High,Better
94,High,Medium,Better
95,Low,High,Bad
96,High,Low,Better
97,Very High,High,Best
98,High,High,Better
99,Low,Very High,Better
100,Low,Medium,Better
101,Very High,Very High,Better
102,Low,Very High,Better
103,Very High,High,Better
104,Very High,High,Better
105,Low,Very High,Good
106,Very High,High,Better
107,High,Low,Better
108,High,High,Best
109,Low,Medium,Better
110,Very High,Very High,Better
111,High,High,Better
112,NA,Medium,Better
113,High,Medium,Better
114,Very High,Very High,Better
115,High,Medium,Better
116,Very High,Medium,Better
117,Medium,Very High,Better
118,Medium,High,Better
119,High,Very High,Good
120,Very High,High,Better
121,Low,Very High,Good
122,High,Very High,Better
123,Very High,High,Best
124,High,Medium,Better
125,High,NA,Better
126,Low,Medium,Better
127,Medium,High,Better
128,High,Very High,Better
129,Very High,Low,Good
130,Very High,Medium,Better
131,Medium,Low,Better
132,High,Medium,Good
133,Low,Medium,Better
134,Medium,High,Better
135,Low,Low,Good
136,High,High,Better
137,Medium,Low,Bad
138,Very High,Very High,Better
139,High,High,Better
140,Medium,Very High,Better
141,Medium,High,Better
142,Very High,Low,Better
143,Medium,High,Better
144,High,Low,Good
145,Medium,High,Better
146,Medium,Low,Better
147,High,Low,Better
148,Low,Low,Better
149,Very High,High,Better
150,Low,Very High,Good
151,Very High,Very High,Bad
152,Low,High,Better
153,High,Very High,Better
154,Low,Low,Bad
155,High,High,Good
156,Very High,Very High,Best
157,Low,Medium,Better
158,Very High,High,Good
159,Very High,Very High,Better
160,High,High,Better
161,Low,Very High,Bad
162,High,Very High,Bad
163,Medium,High,Better
164,High,Medium,Best
165,Low,Very High,Best
166,High,Low,Better
167,Low,Very High,Good
168,Medium,High,Better
169,High,Very High,Good
170,High,Low,Best
171,Low,Very High,Better
172,Low,High,Bad
173,Very High,High,Better
174,High,High,Better
175,Very High,High,Better
176,High,Very High,Better
177,High,Medium,Best
178,Medium,High,Best
179,Low,Very High,Better
180,Very High,Medium,Better
181,Very High,High,Better
182,Low,High,Better
183,Medium,Low,Better
184,Medium,High,Better
185,Medium,Very High,Good
186,High,High,Better
187,Medium,Very High,Better
188,Low,Medium,Better
189,Very High,Very High,Better
190,Medium,High,Better
191,Medium,High,Better
192,High,High,Better
193,Medium,Very High,Best
194,Very High,Low,Good
195,Very High,Medium,Best
196,NA,High,Good
197,Very High,Very High,Best
198,Low,High,Better
199,High,Very High,Good
200,Medium,Medium,Better
201,High,Low,Better
202,Low,High,Better
203,Low,High,Better
204,Low,High,Better
205,Very High,Very High,Better
206,High,Very High,Bad
207,Medium,Very High,Best
208,Low,High,Good
209,Medium,Low,Better
210,Low,Medium,Better
211,Very High,Low,Better
212,Very High,High,Better
213,Very High,Very High,Better
214,High,High,Better
215,Medium,Medium,Good
216,Very High,High,Better
217,Medium,Very High,Better
218,Low,Medium,Best
219,Very High,Medium,Better
220,Low,Medium,Better
221,Medium,High,Better
222,Low,High,Better
223,Medium,Low,Best
224,Medium,Very High,Better
225,Medium,Low,Bad
226,Low,Very High,Better
227,Low,Very High,Best
228,Low,High,Good
229,Very High,High,Good
230,Very High,Medium,Best
231,High,Very High,Better
232,Medium,Very High,Good
233,High,Low,Good
234,Very High,High,Better
235,Very High,Low,Bad
236,Low,High,Best
237,High,High,Better
238,High,Low,Better
239,High,High,Better
240,Very High,Very High,Best
241,Low,High,Better
242,High,High,Better
243,Low,Very High,Good
244,High,High,Better
245,Very High,Low,Best
246,Medium,Very High,Good
247,Low,Low,Better
248,High,Very High,Better
249,High,High,Better
250,Medium,High,Good
251,Medium,Very High,Better
252,High,Very High,Bad
253,High,Medium,Best
254,Medium,Medium,Better
255,Low,Very High,Better
256,Very High,High,Better
257,Low,Low,Better
258,High,High,Better
259,Low,Low,Best
260,Very High,Medium,Better
261,Very High,Very High,Better
262,Medium,Very High,Better
263,Medium,Medium,Better
264,Very High,Very High,Better
265,Very High,Very High,Better
266,Very High,High,Better
267,Very High,Medium,Best
268,Low,High,Better
269,Very High,High,Better
270,Very High,Very High,Good
271,Medium,High,Better
272,Medium,Very High,Good
273,High,Low,Better
274,High,Very High,NA
275,Very High,Low,Better
276,Very High,Low,Better
277,High,High,Better
278,Medium,Very High,Good
279,Low,Low,Better
280,Very High,Low,Good
281,Very High,High,Better
282,Very High,Medium,Better
283,Low,Medium,Better
284,Low,Low,Better
285,High,High,Best
286,Low,High,Better
287,Very High,High,Good
288,High,Very High,Good
289,High,High,Better
290,High,High,Better
291,Very High,Very High,Better
292,Medium,High,Better
